venue,bat_team,bowl_team,batsman,bowler
,,,UT Yadav,Sunny Gupta
,,,Sunny Singh,MG Johnson
,,,NJ Rimmington,JJ Bumrah
,,,MA Agarwal,AS Rajpoot
,,,AUK Pathan,B Laughlin
,,,AL Menaria,GH Vihari
,,,DJ Jacobs,Mohammed Shami
,,,WD Parnell,BMAJ Mendis
,,,TD Paine,CH Morris
,,,SB Wagh,Anand Rajan
,,,AC Thomas,AJ Finch
,,,BJ Haddin,MM Sharma
,,,NLTC Perera,KV Sharma
,,,MS Wade,SMSM Senanayake
,,,JE Taylor,R Rampaul
,,,RN ten Doeschate,R Dhawan
,,,SL Malinga,JO Holder
,,,AG Murtaza,IC Pandey
,,,TR Birt,LJ Wright
,,,Harpreet Singh,S Kaul
,,,NL McCullum,YS Chahal
,,,DH Yagnik,KW Richardson
,,,AC Blizzard,DJG Sammy
,,,M Klinger,Sandeep Sharma
,,,I Malhotra,PV Tambe
,,,A Mithun,Parvez Rasool
,,,P Parameswaran,RN ten Doeschate
,,,AA Chavan,MG Neser
,,,ND Doshi,NM Coulter-Nile
,,,CJ Ferguson,CJ Anderson
,,,B Kumar,MA Starc
,,,S Rana,AR Patel
,,,JEC Franklin,JDS Neesham
,,,Shakib Al Hasan,M Vijay
,,,F du Plessis,SA Yadav
,,,SPD Smith,S Badree
,,,MN Samuels,R Tewatia
,,,KK Cooper,V Shankar
,,,HV Patel,Imran Tahir
,,,Ankit Sharma,Shivam Sharma
,,,RE Levi,S Rana
,,,RR Bhatkal,BE Hendricks
,,,Harmeet Singh,PJ Cummins
,,,BA Bhatt,K Santokie
,,,CJ McKay,S Gopal
,,,DJ Harris,Karanveer Singh
,,,N Saini,DJ Muthuswami
,,,DA Miller,TA Boult
,,,Azhar Mahmood,SA Abbott
,,,A Ashish Reddy,DJ Hooda
,,,V Pratap Singh,P Suyal
,,,BB Samantray,J Suchith
,,,RJ Peterson,D Wiese
,,,S Nadeem,MJ McClenaghan
,,,VR Aaron,HH Pandya
,,,MJ Clarke,RG More
,,,AP Majumdar,GS Sandhu
,,,Gurkeerat Singh,M de Lange
,,,P Awana,J Yadav
,,,SP Narine,Gurkeerat Singh
,,,A Chandila,M Ashwin
,,,PA Reddy,JW Hastings
,,,MC Juneja,C Munro
,,,AD Russell,Mustafizur Rahman
,,,KK Nair,CR Brathwaite
,,,KB Arun Karthik,KJ Abbott
,,,GH Vihari,P Sahu
,,,MDKJ Perera,BB Sran
,,,R Shukla,KH Pandya
,,,JD Unadkat,S Kaushik
,,,M Vohra,T Shamsi
,,,JP Faulkner,MP Stoinis
,,,R Rampaul,Swapnil Singh
,,,BJ Rohrer,SM Boland
,,,Q de Kock,CJ Jordan
,,,KV Sharma,KC Cariappa
